name,description,price,thumb,images,slug,sku,sizes,prices
Midnight Kemet Kilim Rug,,648,https://bucket.zammit.shop/active-storage/pkz74w9tqyne7sheixt0gnelk4xo,https://bucket.zammit.shop/active-storage/e1s45qx5d6x4e26sfzvnhrbg0j4z,Midnight-Kemet-Kilim-Rug,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.2 * 1.8 CM|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,648|1181|1687|2430|3375|4972|5625|6750|13500
Mint Green Bricks Bath Mat,,699,https://bucket.zammit.shop/active-storage/a63nznmh9mai0rzymtgi5vwvv58g,https://bucket.zammit.shop/active-storage/unz0kbposftgh93hb800pbzjtolu,Mint-Green-Bricks-Bath-Mat,,90 * 60 Cm|140 * 50 Cm|100 * 80 Cm|130 * 100 Cm,699|892|1020|1657
Mint Green Cushion,,675,https://bucket.zammit.shop/active-storage/skcqp2o37gc3z4cbkldc7ntwhveg,,Mint-Green-Cushion,,40 * 40 Cm Cover Only|40 * 40 Cm With Insert|40 * 70 Cm Cover Only|40 * 70 Cm With Insert|70 * 70 Cm Cover Only|70 * 70 Cm With Insert,675|712|750|787|1012|1050
Minty Flow Cushion,,675,https://bucket.zammit.shop/active-storage/56he1mmzuy8blg7m5fyaxpof05wn,,Minty-Flow-Cushion-,,40 * 40 Cm Cover Only|40 * 40 Cm with Insert|40 * 70 Cm Cover Only|40 * 70 Cm with Insert|70 * 70 Cm Cover Only|70 * 70 Cm with Insert,675|712|750|787|1012|1050
Mistra Loom Kilim Rug,,648,https://bucket.zammit.shop/active-storage/m9xcdenemyhu69pqdgw67y99un1j,https://bucket.zammit.shop/active-storage/n69bqo1nrq5pb6cm24bzjuj4dcdu|https://bucket.zammit.shop/active-storage/wk0lg29qqxow54hvltuycu6m7xks|https://bucket.zammit.shop/active-storage/nk7cva5cwxq21ly9b8o0p8xdpg2f,Mistra-Loom-Kilim-Rug,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.2 * 1.8 CM|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,648|1181|1687|2430|3375|4972|5625|6750|13500
Mustache Kilim Rug,,0,https://bucket.zammit.shop/active-storage/7n7b13d6ftvnemllejtcp0h21kkj,https://bucket.zammit.shop/active-storage/f3kzdc9hk3d2vrt6kwcajc37ccza,Mustache-Kilim-Rug,,90 * 60 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0|0
Mustard Wind Hallway Runner,,2520,https://bucket.zammit.shop/active-storage/k3gidd1oxwhqbb52x1iqwflr3l8u,https://bucket.zammit.shop/active-storage/srg6or5a7ay16lqoouln3k1e6ajf,Mustard-Wind-Hallway-Runner,,80 * 300 Cm|80 * 400 Cm|80 * 500 Cm|80 * 600 Cm|80 * 700 Cm|80 * 800 Cm,2520|3360|4200|5040|5880|6720
Mustard Wind Kilim Rug,,1181,https://bucket.zammit.shop/active-storage/yornyoavfi10lbpbb17nj5yz7sl9,https://bucket.zammit.shop/active-storage/bcwwkbs84eqvczrfb93pjh8jjq07|https://bucket.zammit.shop/active-storage/vo6l5vz4clant6jw26r9oe47vcpi|https://bucket.zammit.shop/active-storage/ew3tervqcueqt779imxebz61k7le,Mustard-Wind-Kilim-Rug,,0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,1181|1462|2925|4309|4875|5850|11700
Navira Kilim Rug,,1181,https://bucket.zammit.shop/active-storage/7aiiyyctfkuwfl554xc27n2idnjy,https://bucket.zammit.shop/active-storage/1ms3b5p6hhxcjqohspwza8gnoenv|https://bucket.zammit.shop/active-storage/nytokrzzd97a98683lg2b6fvm8rd,Navira-Kilim-Rug,,0.7 * 1.5 Cm|1 * 1.5 M|1.2 * 1.8 CM|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,1181|1800|2592|3600|5325|6000|7200|14400
Nile Felucca Kilim Rug,,0,https://bucket.zammit.shop/active-storage/mx5p7mxzlkapukfiqujxlxcgbkiv,https://bucket.zammit.shop/active-storage/uzzz4u61izq4wq6oz5reevul00w6|https://bucket.zammit.shop/active-storage/xeomcdndw2prk601xek9pbkgfcep,Nile-Felucca-Kilim-Rug,,0.7 * 1.5 Cm|1 * 1.5 M|1.2 * 1.8 CM|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0|0|0
