name,description,price,thumb,images,slug,sku,sizes,prices
Coral Flame Kilim Rug,,0,https://bucket.zammit.shop/active-storage/59z4ox9lpwge8w2mlsa69n9cveic,https://bucket.zammit.shop/active-storage/e2epp1ghrj76cohupi0mlctf4hmn,-Coral-Flame-Kilim-Rug,,0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0
Crowned Mustard Kilim Rug,,2340,https://bucket.zammit.shop/active-storage/0bb28v18dwe731s1e3ug6vqcuj0q,https://bucket.zammit.shop/active-storage/d70jn2fy2u8qyjqmomglzzrx5xnl,-Crowned-Mustard-Kilim-Rug,,80 * 300 Cm|80 * 400 Cm|80 * 500 Cm|80 * 600 Cm|80 * 700 Cm|80 * 800 Cm,2340|3120|3900|4680|5880|6720
Grey Shaggy Kilim Runner,,1800,https://bucket.zammit.shop/active-storage/6hk5xunno1fg8wke04bvoo5foey7,,-Grey-Shaggy-kilim-Runner,,80 * 200 Cm|80 * 300 Cm|80 * 400 Cm|80 * 500 Cm|80 * 600 Cm|80 * 700 Cm|80 * 800 Cm,1800|2700|3600|4500|5400|6300|7200
Notebook In Cafe Kilim Rug,,0,https://bucket.zammit.shop/active-storage/a5p3jjhflupbjw4z5usy6zwn2ewu,https://bucket.zammit.shop/active-storage/5x01p57fa9orl0vdsrwider2t04b,-Notebook-In-Cafe-Kilim-Rug-,,90 * 60 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0|0
Traditional Buca Kilim Rug,,1575,https://bucket.zammit.shop/active-storage/bo574q04km8vuu3rruhxhoafxjnr,https://bucket.zammit.shop/active-storage/pajif24x8yp2dp9m255ppxifptau|https://bucket.zammit.shop/active-storage/ouji43y4zk0v74bphy8ogjdqbh62|https://bucket.zammit.shop/active-storage/ukrxy5bdviwbfjordbug147t95n9,-Traditional-Buca-Kilim-Rug,,0.7 * 1.5 Cm|1 * 1.5 M|1.2 * 1.8 CM|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M,1575|2250|3240|4500|6630|7500|9000
African Ivory Kilim Rug,,0,https://bucket.zammit.shop/active-storage/qxrrroe0nwdecqtn2cxv2bz9nh0c,https://bucket.zammit.shop/active-storage/5g9e4wqkhanm9x8ucu7bsuzqwebw|https://bucket.zammit.shop/active-storage/zfhfwutxzxilupy2ik21b8p8t00i,African-Ivory-Kilim-Rug,,70 x 1.5 M|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0|0
Alexandrian Azure Kilim Rug,,0,https://bucket.zammit.shop/active-storage/g04aznteaxau6wyuor7p5zikwqpn,https://bucket.zammit.shop/active-storage/3e68zw0w7elrz4uh9vru7733jznf|https://bucket.zammit.shop/active-storage/xt9fvf9jyastmphpene5d3es98ho,Alexandrian-Azure-Kilim-Rug,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.2 * 1.8 CM|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0|0|0|0
Amara Kilim Rug,,0,https://bucket.zammit.shop/active-storage/v1dis404m6d107gmxr72ynw1vnpb,https://bucket.zammit.shop/active-storage/je68hgbtiftzze55e92exs284od3,Amara-Kilim-Rug,,1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0
Autumn Bath Mat,,699,https://bucket.zammit.shop/active-storage/m2jl4v14xlu0msnv3xzx7fhrxdpe,https://bucket.zammit.shop/active-storage/xx0iyvg01lw0qtt7qyir9s004wb8,Autumn-Bath-Mat,,90 * 60 Cm|140 * 50 Cm|100 * 80 Cm|130 * 100 Cm,699|892|1020|1657
Baby Garden Bath Mat,,699,https://bucket.zammit.shop/active-storage/rwxaa1kv73zimafuwre4ij5lkxcg,https://bucket.zammit.shop/active-storage/mgkt1c7q19639rukksd7d6ch5brd,Baby-Garden-Bath-Mat,,90 * 60 Cm|140 * 50 Cm|100 * 80 Cm|130 * 100 Cm,699|892|1020|1657
Bahya Corner Kilim Rug,,0,https://bucket.zammit.shop/active-storage/es0opx5wvrjeyk21d6ri9dfj00yv,https://bucket.zammit.shop/active-storage/7oohv5qgl9vqnxadzjbcbntl1yyo,Bahya-Corner-Kilim-Rug,,90 * 60 Cm|1 * 1.5 M|1.2 * 1.8 CM|1.5 * 2 M|1.7 * 2.6 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0|0
Biege Barez Kilim Rug,,3600,https://bucket.zammit.shop/active-storage/i8iv4iuitsw5cj729o468bulq6cf,https://bucket.zammit.shop/active-storage/3ns5atej5tvz1etj4cd8hvw9mwwo|https://bucket.zammit.shop/active-storage/cp1nbk2r7bxyiqve7f78kq38zyrq|https://bucket.zammit.shop/active-storage/8yeyiwcn08zb1c6nvc0bgttcmfkj,Biege-Barez-Kilim-Rug,,80 * 400 Cm|80 * 500 Cm|80 * 600 Cm|80 * 700 Cm|80 * 800 Cm,3600|4500|5400|6300|7200
Blue Coco Cushion,,675,https://bucket.zammit.shop/active-storage/nhc453qavcxl6mqgmj8g2ybo4g9j,https://bucket.zammit.shop/active-storage/f95u3lx7o8phkmdg3qc5zal3r8f5|https://bucket.zammit.shop/active-storage/996ikjd7iaks7t3tm7mlgqchmmap,Blue-Coco-Cushion-,,40 * 40 Cm Cover Only|40 * 40 Cm With Insert|40 * 70 Cm Cover Only|40 * 70 Cm With Insert|70 * 70 Cm Cover Only|70 * 70 Cm With Insert,675|712|750|787|1012|1050
Boho Blaze Cushion,,0,https://bucket.zammit.shop/active-storage/ws03va542hp2mktlmoqak055en60,,Boho-Blaze-Cushion-,,40 * 40 Cm Cover Only|40 * 40 Cm With Insert|40 * 70 Cm Cover Only|40 * 70 Cm With Insert|70 * 70 Cm Cover Only|70 * 70 Cm With Insert,0|0|0|0|0|0
Boho Fiction Cushion,,675,https://bucket.zammit.shop/active-storage/mphedma8w64gsyu7ssakrcjlr1n8,https://bucket.zammit.shop/active-storage/czv0e4r4ve4rgeufps714pznjnkx,Boho-Fiction-Cushion,,40 * 40 Cm Cover Only|40 * 40 Cm With insert|40 * 70 Cm Cover Only|40 * 70 Cm With insert|70 * 70 Cm Cover Only|70 * 70 Cm With insert,675|712|750|787|1012|1050
Boho Fiction Kilim Rug 1,,648,https://bucket.zammit.shop/active-storage/sl30t5cwsve3321xrlzh8iyn6yvf,https://bucket.zammit.shop/active-storage/i7msggx8lg741d2xg084ao9onewr|https://bucket.zammit.shop/active-storage/dggdxx0zvuur3esubbkycgpuezus,Boho-Fiction-Kilim-Rug-1,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,648|1181|1687|3375|4972|5625|6750|13500
Brown Arabica Kilim Rug,,1181,https://bucket.zammit.shop/active-storage/hsee7pyw0psysk9v7knz8b9i42np,https://bucket.zammit.shop/active-storage/xcichlmjt3ox3g2zb63rldqmyqne,Brown-Arabica-Kilim-Rug,,0.7 * 1.5 Cm|1 * 1.5 M|1.2 * 1.8 CM|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,1181|1687|2430|3375|4972|5625|6750|13500
Burgundy Wood Kilim Rug,,648,https://bucket.zammit.shop/active-storage/asxntgrn0y6vk3irijx99wqjbuxx,https://bucket.zammit.shop/active-storage/f1ksi466smx6g5ql2tox5hkfz7fb,Burgundy-Wood-Kilim-Rug,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,648|1181|1575|3150|4641|5250|6300|12600
Cacto Sagrado Kilim Rug,,0,https://bucket.zammit.shop/active-storage/5kaonzixbmkxziyr9inizlw584da,https://bucket.zammit.shop/active-storage/m10i8dbbsnpj7x7q1o10gmgilkuu,Cacto-Sagrado-Kilim-Rug,,1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0
Cairo Blocks Kilim Rugs,,0,https://bucket.zammit.shop/active-storage/n3ffd1myyc7yxs2zftpjxsqyegsy,https://bucket.zammit.shop/active-storage/xevzyi79vjizsphn8nk44c4cejse,Cairo-Blocks-Kilim-Rugs,,1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0
Chocolate Maya Kilim Rug,,0,https://bucket.zammit.shop/active-storage/hvrtdkm9ledq7ndu91fn2bvatvdj,https://bucket.zammit.shop/active-storage/okg029jakl6l4ww3llcp9eowivg2|https://bucket.zammit.shop/active-storage/6skv7nthw0x1tbvi0y4m7rs4pj70|https://bucket.zammit.shop/active-storage/36fi1hrtscw8vl045xyaeyqr9s20,Chocolate-Maya-Kilim-Rug,,0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0|0
Clouds Kilim Rug,,1687,https://bucket.zammit.shop/active-storage/d9ye3mdufbsv4whljnceadtnz506,https://bucket.zammit.shop/active-storage/8aqcjeulw0odq7thkgp0yj4rtux3,Clouds-Kilim-Rug,,1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,1687|3375|4972|5625|6750|13500
Cubics Kilim Rug,,648,https://bucket.zammit.shop/active-storage/ok04hcg1kaxhzcj7kby6759fx569,https://bucket.zammit.shop/active-storage/db1ovf5jw20vc2h5btedf5gmrwvi,Cubics-Kilim-Rug,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,648|1181|1575|3150|4641|5250|6300|12600
Dark Biege Hallway Kilim,,1440,https://bucket.zammit.shop/active-storage/eo1k31lso58ykkn3s53ya9ezw6by,,Dark-Biege-hallway-Kilim-,,80 * 200 Cm|80 * 300 Cm|80 * 400 Cm|80 * 500 Cm|80 * 600 Cm,1440|2160|2880|3600|4320
De La Maison Kilim Rug,,0,https://bucket.zammit.shop/active-storage/63u1wpaui4phs23fd5fuu45zz2sq,https://bucket.zammit.shop/active-storage/fmgivqhnzk14pio44i7zccav27p3,De-La-Maison-Kilim-Rug,,1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,1687|3375|4972|5625|0|0
Dunes 3,,648,https://bucket.zammit.shop/active-storage/wyvb5n36g8n3r5o608zzizvcqly3,https://bucket.zammit.shop/active-storage/mxu2of9nc2ftqnz5t8350hnydcy0,Dunes-3,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,648|1181|1575|3150|4641|5250|6300|12600
Dunes 9 Kilim Rug 1,,1687,https://bucket.zammit.shop/active-storage/ga48rvf1vc2lpra0tceqfhd8wx6z,https://bucket.zammit.shop/active-storage/fdptrnwqs9c5qo6oac7pm7ry99tf,Dunes-9-Kilim-Rug-1,,1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,1687|3375|4972|5625|6750|13500
Dunes Hallway Kilim Runner 1,,1560,https://bucket.zammit.shop/active-storage/zahrgjbo9fubzsix0crqyqs8rm1c,https://bucket.zammit.shop/active-storage/s4ykik9v1ybws1apmw28n6bgzg1o,Dunes-Hallway-Kilim-Runner-1,,80 * 200 Cm|80 * 300 Cm|80 * 400 Cm|80 * 500 Cm|80 * 600 Cm,1560|2340|3120|3900|4680
Eastern Desert Bath Mat,,699,https://bucket.zammit.shop/active-storage/uw9zntep3js9zbiidfd59m041to3,,Eastern-Desert-Bath-Mat,,90 * 60 Cm|140 * 50 Cm|100 * 80 Cm|130 * 100 Cm,699|892|1020|1657
Felucca Bath Mat,,699,https://bucket.zammit.shop/active-storage/oz1trqx6uvzrypji1ur9vuwolooc,https://bucket.zammit.shop/active-storage/orrr2qq2dr0jp3cw1awhcvyeq731,Felucca-Bath-Mat,,90 * 60 Cm|140 * 50 Cm|100 * 80 Cm|130 * 100 Cm,699|892|1020|1657
